"","Date","State","Takings","Occupancy","CPI"
"1",10227,"Australian Capital Territory",24.278895,65,67
"2",10317,"Australian Capital Territory",22.323541,59,67.4
"3",10408,"Australian Capital Territory",22.52939,58,67.5
"4",10500,"Australian Capital Territory",24.390964,59,67.8
"5",10592,"Australian Capital Territory",23.721435,58,67.8
"6",10682,"Australian Capital Territory",25.382451,61,68.1
"7",10773,"Australian Capital Territory",28.228668,66,68.7
"8",10865,"Australian Capital Territory",25.813338,60,69.1
"9",10957,"Australian Capital Territory",27.304594,60.9,69.7
"10",11048,"Australian Capital Territory",30.094616,64.7,70.2
"11",11139,"Australian Capital Territory",29.878233,56.8,72.9
"12",11231,"Australian Capital Territory",30.115006,59,73.1
"13",11323,"Australian Capital Territory",30.611408,59.4,73.9
"14",11413,"Australian Capital Territory",37.061952,68.6,74.5
"15",11504,"Australian Capital Territory",32.045435,62.4,74.7
"16",11596,"Australian Capital Territory",29.785406,57.4,75.4
"17",11688,"Australian Capital Territory",31.99225,62.3,76.1
"18",11778,"Australian Capital Territory",32.890227,63.2,76.6
"19",11869,"Australian Capital Territory",31.545823,61.9,77.1
"20",11961,"Australian Capital Territory",33.781908,64.6,77.6
"21",12053,"Australian Capital Territory",32.793523,61.9,78.6
"22",12143,"Australian Capital Territory",32.7356,63.5,78.6
"23",12234,"Australian Capital Territory",36.761701,69.4,79.1
"24",12326,"Australian Capital Territory",38.030811,70.3,79.5
"25",12418,"Australian Capital Territory",34.268334,65.7,80.2
"26",12509,"Australian Capital Territory",35.19202,65.9,80.6
"27",12600,"Australian Capital Territory",36.82946,70,80.9
"28",12692,"Australian Capital Territory",34.386573,66.4,81.5
"29",12784,"Australian Capital Territory",35.347311,66.2,82.1
"30",12874,"Australian Capital Territory",38.543147,69.2,82.6
"31",12965,"Australian Capital Territory",39.724808,70.9,83.4
"32",13057,"Australian Capital Territory",38.765903,71,83.8
"33",13149,"Australian Capital Territory",39.185922,70.3,84.5
"34",13239,"Australian Capital Territory",41.342306,69.3,85.9
"35",13330,"Australian Capital Territory",45.618953,75,86.7
"36",13422,"Australian Capital Territory",45.454872,74.7,86.6
"37",13514,"Australian Capital Territory",47.978985,74.6,86.6
"38",13604,"Australian Capital Territory",45.747916,69.3,87.7
"39",13695,"Australian Capital Territory",50.519857,76.8,88.3
"40",13787,"Australian Capital Territory",45.558355,69.9,89.1
"41",13879,"Australian Capital Territory",48.961052,67.1,90.3
"42",13970,"Australian Capital Territory",58.127957,72.3,91.6
"43",14061,"Australian Capital Territory",52.482471,69.1,92.7
"44",14153,"Australian Capital Territory",52.045103,68.8,92.4
"45",14245,"Australian Capital Territory",52.577797,70.6,92.5
"46",14335,"Australian Capital Territory",48.631628,67.5,92.9
"47",14426,"Australian Capital Territory",54.502291,72.6,93.8
"48",14518,"Australian Capital Territory",54.316894,71.7,94.3
"49",14610,"Australian Capital Territory",60.811699,80.2,95.2
"50",14700,"Australian Capital Territory",55.473064,74.8,95.8
"51",14791,"Australian Capital Territory",55.680203,75.4,96.5
"52",14883,"Australian Capital Territory",55.509841,73.3,96.9
"53",14975,"Australian Capital Territory",53.008043,70.4,98.3
"54",15065,"Australian Capital Territory",55.150822,73.3,99.2
"55",15156,"Australian Capital Territory",60.111832,77,99.8
"56",15248,"Australian Capital Territory",55.729979,72.1,99.8
"57",15340,"Australian Capital Territory",57.486915,73.6,99.9
"58",15431,"Australian Capital Territory",55.814153,68.8,100.4
"59",15522,"Australian Capital Territory",58.076784,72.2,101.8
"60",15614,"Australian Capital Territory",53.54834,65.8,102
"61",15706,"Australian Capital Territory",56.837377,69.9,102.4
"62",15796,"Australian Capital Territory",55.628492,68.2,102.8
"63",15887,"Australian Capital Territory",58.530928,71.5,104
"64",15979,"Australian Capital Territory",54.283868,66.2,104.8
"65",16071,"Australian Capital Territory",50.201816,65.4,105.4
"66",16161,"Australian Capital Territory",49.567818,63.3,105.9
"67",16252,"Australian Capital Territory",61.573688,68.9,106.4
"68",16344,"Australian Capital Territory",60.303741,65.6,106.6
"69",16436,"Australian Capital Territory",60.6281,66.6,106.8
"70",16526,"Australian Capital Territory",66.625605,71.1,107.5
"71",16617,"Australian Capital Territory",71.089253,74.6,108
"72",16709,"Australian Capital Territory",65.456561,68,108.4
"73",16801,"Australian Capital Territory",67.448092,70.1,108.2
"74",16892,"Australian Capital Territory",66.77506,69.2,108.6
"75",10227,"New South Wales",342.654047,60,67
"76",10317,"New South Wales",316.055947,56,67.4
"77",10408,"New South Wales",341.463722,58,67.5
"78",10500,"New South Wales",358.506162,60,67.8
"79",10592,"New South Wales",360.072783,61,67.8
"80",10682,"New South Wales",332.242861,58,68.1
"81",10773,"New South Wales",374.458393,61,68.7
"82",10865,"New South Wales",394.379434,61,69.1
"83",10957,"New South Wales",397.868896,60.3,69.7
"84",11048,"New South Wales",374.004852,58.1,70.2
"85",11139,"New South Wales",566.315452,59.7,72.9
"86",11231,"New South Wales",470.016604,58.7,73.1
"87",11323,"New South Wales",441.870999,57.9,73.9
"88",11413,"New South Wales",388.267829,54.1,74.5
"89",11504,"New South Wales",428.654449,57,74.7
"90",11596,"New South Wales",412.850425,56.8,75.4
"91",11688,"New South Wales",429.294358,59.2,76.1
"92",11778,"New South Wales",390.71329,55.5,76.6
"93",11869,"New South Wales",414.029659,58.4,77.1
"94",11961,"New South Wales",442.579495,62.1,77.6
"95",12053,"New South Wales",428.277742,60.6,78.6
"96",12143,"New South Wales",381.532796,55.4,78.6
"97",12234,"New South Wales",459.54554,62.5,79.1
"98",12326,"New South Wales",526.438853,64.6,79.5
"99",12418,"New South Wales",482.130711,63.5,80.2
"100",12509,"New South Wales",428.894513,58.6,80.6
"101",12600,"New South Wales",485.618783,63,80.9
"102",12692,"New South Wales",507.386929,63.8,81.5
"103",12784,"New South Wales",533.041944,65.4,82.1
"104",12874,"New South Wales",455.049837,58.5,82.6
"105",12965,"New South Wales",527.90863,62,83.4
"106",13057,"New South Wales",550.486764,63.5,83.8
"107",13149,"New South Wales",551.236799,63.4,84.5
"108",13239,"New South Wales",490.052154,58.7,85.9
