"","Quarter","Origin","Arrivals"
"1",4018,"Japan",14763
"2",4108,"Japan",9321
"3",4199,"Japan",10166
"4",4291,"Japan",19509
"5",4383,"Japan",17117
"6",4473,"Japan",10617
"7",4564,"Japan",11737
"8",4656,"Japan",20961
"9",4748,"Japan",20671
"10",4838,"Japan",12235
"11",4929,"Japan",14567
"12",5021,"Japan",24363
"13",5113,"Japan",23169
"14",5204,"Japan",16296
"15",5295,"Japan",18504
"16",5387,"Japan",29938
"17",5479,"Japan",30240
"18",5569,"Japan",20280
"19",5660,"Japan",20908
"20",5752,"Japan",36169
"21",5844,"Japan",37989
"22",5934,"Japan",32366
"23",6025,"Japan",28131
"24",6117,"Japan",47150
"25",6209,"Japan",51736
"26",6299,"Japan",38254
"27",6390,"Japan",53807
"28",6482,"Japan",71807
"29",6574,"Japan",80300
"30",6665,"Japan",79596
"31",6756,"Japan",88708
"32",6848,"Japan",103738
"33",6940,"Japan",94172
"34",7030,"Japan",76462
"35",7121,"Japan",88393
"36",7213,"Japan",90527
"37",7305,"Japan",119654
"38",7395,"Japan",106965
"39",7486,"Japan",128472
"40",7578,"Japan",124773
"41",7670,"Japan",119638
"42",7760,"Japan",115049
"43",7851,"Japan",140470
"44",7943,"Japan",153436
"45",8035,"Japan",166732
"46",8126,"Japan",141886
"47",8217,"Japan",160455
"48",8309,"Japan",160807
"49",8401,"Japan",178466
"50",8491,"Japan",151904
"51",8582,"Japan",168131
"52",8674,"Japan",172358
"53",8766,"Japan",191367
"54",8856,"Japan",158207
"55",8947,"Japan",183289
"56",9039,"Japan",188273
"57",9131,"Japan",196480
"58",9221,"Japan",174307
"59",9312,"Japan",214067
"60",9404,"Japan",197850
"61",9496,"Japan",227335
"62",9587,"Japan",174325
"63",9678,"Japan",219347
"64",9770,"Japan",192137
"65",9862,"Japan",223640
"66",9952,"Japan",167269
"67",10043,"Japan",227641
"68",10135,"Japan",195350
"69",10227,"Japan",205468
"70",10317,"Japan",168520
"71",10408,"Japan",200860
"72",10500,"Japan",176235
"73",10592,"Japan",193822
"74",10682,"Japan",154860
"75",10773,"Japan",188080
"76",10865,"Japan",170689
"77",10957,"Japan",192023
"78",11048,"Japan",154701
"79",11139,"Japan",182130
"80",11231,"Japan",192135
"81",11323,"Japan",193645
"82",11413,"Japan",156303
"83",11504,"Japan",186861
"84",11596,"Japan",136748
"85",11688,"Japan",177263
"86",11778,"Japan",158357
"87",11869,"Japan",183821
"88",11961,"Japan",196006
"89",12053,"Japan",176132
"90",12143,"Japan",102633
"91",12234,"Japan",156396
"92",12326,"Japan",192591
"93",12418,"Japan",185175
"94",12509,"Japan",153363
"95",12600,"Japan",181659
"96",12692,"Japan",190143
"97",12784,"Japan",193547
