"","Month","Volume"
"1",-3653,1.4306
"2",-3622,1.3059
"3",-3593,1.4022
"4",-3562,1.1699
"5",-3532,1.1161
"6",-3501,1.0113
"7",-3471,0.966
"8",-3440,0.9773
"9",-3409,1.0311
"10",-3379,1.2521
"11",-3348,1.4419
"12",-3318,1.5637
"13",-3287,1.745
"14",-3256,1.5835
"15",-3228,1.677
"16",-3197,1.5155
"17",-3167,1.4051
"18",-3136,1.2464
"19",-3106,1.2238
"20",-3075,1.2917
"21",-3044,1.3541
"22",-3014,1.5552
"23",-2983,1.7648
"24",-2953,2.2549
"25",-2922,2.4164
"26",-2891,2.3484
"27",-2863,2.3852
"28",-2832,2.0651
"29",-2802,2.0594
"30",-2771,1.9263
"31",-2741,1.9631
"32",-2710,2.0396
"33",-2679,2.1104
"34",-2649,2.3427
"35",-2618,2.422
"36",-2588,2.8554
"37",-2557,3.0566
"38",-2526,2.6798
"39",-2498,2.8101
"40",-2467,2.5863
"41",-2437,2.4674
"42",-2406,2.2407
"43",-2376,2.2662
"44",-2345,2.2889
"45",-2314,2.4305
"46",-2284,2.6345
"47",-2253,2.9716
"48",-2223,3.2577
"49",-2192,3.4872
"50",-2161,3.2322
"51",-2132,3.2464
"52",-2101,3.1104
"53",-2071,2.8838
"54",-2040,2.592
"55",-2010,2.6996
"56",-1979,2.796
"57",-1948,2.796
"58",-1918,3.0736
"59",-1887,3.3399
"60",-1857,4.0565
"61",-1826,3.9007
"62",-1795,3.4787
"63",-1767,3.7563
"64",-1736,3.3172
"65",-1706,3.2549
"66",-1675,3.0311
"67",-1645,2.8186
"68",-1614,3.0792
"69",-1583,3.1217
"70",-1553,3.3937
"71",-1522,3.6911
"72",-1492,4.099
"73",-1461,4.3342
"74",-1430,3.6911
"75",-1402,3.9347
"76",-1371,3.5976
"77",-1341,3.4985
"78",-1310,3.201
"79",-1280,3.1812
"80",-1249,3.2095
"81",-1218,3.1019
"82",-1188,3.7704
"83",-1157,4.15
"84",-1127,4.3483
"85",-1096,4.5211
"86",-1065,3.9546
"87",-1037,4.3087
"88",-1006,3.9829
"89",-976,3.9121
"90",-945,3.4418
"91",-915,3.4588
"92",-884,3.6855
"93",-853,3.6061
"94",-823,4.0509
"95",-792,4.2888
"96",-762,4.8894
"97",-731,4.9942
"98",-700,4.6401
"99",-671,4.7761
"100",-640,4.3795
"101",-610,4.116
"102",-579,3.9546
"103",-549,3.8073
"104",-518,4.1217
"105",-487,4.0622
"106",-457,4.7053
"107",-426,5.0848
"108",-396,5.6457
"109",-365,5.7194
"110",-334,5.218
"111",-306,5.6344
"112",-275,5.252
"113",-245,4.7251
"114",-214,4.2265
"115",-184,4.4531
"116",-153,4.7619
"117",-122,4.9404
"118",-92,5.4135
"119",-61,5.8582
"120",-31,6.1981
"121",0,6.4474
"122",31,5.8412
"123",59,6.4701
"124",90,6.065
"125",120,5.7449
"126",151,4.9942
"127",181,5.1443
"128",212,5.388
"129",243,5.7222
"130",273,6.1216
"131",304,6.623
"132",334,7.2718
"133",365,7.1953
"134",396,6.3624
"135",424,7.0735
"136",455,6.4163
"137",485,6.167
"138",516,5.5069
"139",546,5.8837
"140",577,5.9149
"141",608,6.0962
"142",638,6.5239
"143",669,6.7958
"144",699,7.6995
"145",730,7.8751
"146",761,7.6768
"147",790,7.8581
"148",821,7.3596
"149",851,7.1273
"150",882,6.8497
"151",912,6.963
"152",943,7.0735
"153",974,7.3567
"154",1004,8.1669
"155",1035,8.3142
"156",1065,8.9686
"157",1096,9.0224
"158",1127,8.1811
"159",1155,8.759
"160",1186,8.2009
"161",1216,7.725
"162",1247,7.3397
"163",1277,7.5012
"164",1308,7.7788
"165",1339,7.7562
"166",1369,8.5947
"167",1400,8.8666
"168",1430,9.1641
"169",1461,9.0422
"170",1492,8.0621
"171",1520,8.8666
"172",1551,8.2462
"173",1581,7.8751
"174",1612,7.3284
"175",1642,7.4672
"176",1673,7.7618
"177",1704,7.2151
"178",1734,8.1159
"179",1765,8.2717
"180",1795,8.8383
"181",1826,8.8185
"182",1857,7.9176
"183",1885,8.8751
"184",1916,8.1839
"185",1946,7.776
"186",1977,7.4927
"187",2007,7.8808
"188",2038,7.5437
"189",2069,7.3681
"190",2099,8.2009
"191",2130,8.4785
"192",2160,9.0394
"193",2191,9.0394
"194",2222,8.4332
"195",2251,8.9289
"196",2282,8.2406
"197",2312,7.9828
"198",2343,7.5324
"199",2373,7.4417
"200",2404,7.2774
"201",2435,7.065
"202",2465,8.3284
