"","Week","Barrels"
"1",7704,6.621
"2",7711,6.433
"3",7718,6.582
"4",7725,7.224
"5",7732,6.875
"6",7739,6.947
"7",7746,7.328
"8",7753,6.777
"9",7760,7.503
"10",7767,6.916
"11",7774,7.045
"12",7781,6.956
"13",7788,6.976
"14",7795,7.185
"15",7802,6.899
"16",7809,7.396
"17",7816,7.287
"18",7823,7.22
"19",7830,7.651
"20",7837,7.72
"21",7844,7.543
"22",7851,7.961
"23",7858,7.327
"24",7865,7.38
"25",7872,7.501
"26",7879,7.605
"27",7886,7.584
"28",7893,7.401
"29",7900,7.505
"30",7907,7.427
"31",7914,6.993
"32",7921,7.402
"33",7928,7.391
"34",7935,7.088
"35",7942,6.949
"36",7949,7.506
"37",7956,7.396
"38",7963,7.421
"39",7970,7.159
"40",7977,7.379
"41",7984,7.369
"42",7991,6.652
"43",7998,6.769
"44",8005,6.828
"45",8012,7.344
"46",8019,7.447
"47",8026,7.186
"48",8033,6.642
"49",8040,6.788
"50",8047,6.783
"51",8054,7.037
"52",8061,7.112
"53",8068,7.039
"54",8075,6.576
"55",8082,7.002
"56",8089,6.77
"57",8096,7.002
"58",8103,6.806
"59",8110,7.221
"60",8117,7.379
"61",8124,7.027
"62",8131,7.744
"63",8138,6.464
"64",8145,7.376
"65",8152,7.899
"66",8159,7.318
"67",8166,7.174
"68",8173,7.086
"69",8180,7.774
"70",8187,7.104
"71",8194,7.129
"72",8201,7.407
"73",8208,7.701
"74",8215,7.572
"75",8222,7.813
"76",8229,7.422
"77",8236,7.792
"78",8243,7.433
"79",8250,7.796
"80",8257,7.7
"81",8264,7.365
"82",8271,7.814
"83",8278,7.326
"84",8285,7.473
"85",8292,7.181
"86",8299,7.286
"87",8306,7.293
"88",8313,7.514
"89",8320,7.204
"90",8327,7.276
"91",8334,7.509
"92",8341,6.923
"93",8348,7.056
"94",8355,7.24
"95",8362,7.138
"96",8369,7.432
"97",8376,7.354
"98",8383,7.4
"99",8390,7.596
"100",8397,7.358
"101",8404,6.852
"102",8411,6.726
"103",8418,7.131
"104",8425,6.603
"105",8432,7.322
"106",8439,6.779
"107",8446,7.325
"108",8453,6.961
"109",8460,7.188
"110",8467,7.1
"111",8474,7.239
"112",8481,7.194
"113",8488,6.964
"114",8495,6.797
"115",8502,7.561
"116",8509,7.392
"117",8516,7.47
"118",8523,7.657
"119",8530,7.649
"120",8537,7.295
"121",8544,7.364
"122",8551,7.018
"123",8558,7.74
"124",8565,7.392
"125",8572,7.804
"126",8579,7.868
"127",8586,7.578
"128",8593,8.113
"129",8600,7.916
"130",8607,7.336
"131",8614,8.033
"132",8621,7.581
"133",8628,8.187
"134",8635,7.629
"135",8642,7.386
"136",8649,7.889
"137",8656,7.478
"138",8663,7.485
"139",8670,7.387
"140",8677,7.276
"141",8684,7.613
"142",8691,7.704
"143",8698,7.788
"144",8705,7.64
"145",8712,7.552
"146",8719,7.992
"147",8726,6.845
"148",8733,7.43
"149",8740,8.074
"150",8747,7.684
"151",8754,7.411
"152",8761,7.567
"153",8768,7.124
"154",8775,7.124
"155",8782,7.157
"156",8789,6.321
"157",8796,6.953
"158",8803,7.487
"159",8810,6.993
"160",8817,7.372
"161",8824,7.286
"162",8831,7.214
"163",8838,7.521
"164",8845,7.481
"165",8852,7.398
"166",8859,7.187
"167",8866,7.72
"168",8873,7.042
"169",8880,7.892
"170",8887,6.824
"171",8894,7.552
"172",8901,7.938
"173",8908,8.028
"174",8915,7.461
"175",8922,7.77
"176",8929,7.65
"177",8936,7.909
"178",8943,7.93
"179",8950,7.562
"180",8957,8.006
"181",8964,7.523
"182",8971,7.581
"183",8978,7.638
"184",8985,8.187
"185",8992,7.836
"186",8999,7.75
"187",9006,8.061
"188",9013,6.955
"189",9020,7.601
"190",9027,7.763
"191",9034,7.733
"192",9041,7.515
"193",9048,7.562
"194",9055,8.143
"195",9062,8.204
"196",9069,7.432
"197",9076,7.377
"198",9083,7.929
"199",9090,7.431
"200",9097,7.593
"201",9104,8.229
"202",9111,7.933
"203",9118,8.278
"204",9125,7.718
"205",9132,7.134
"206",9139,7.534
"207",9146,7.26
"208",9153,6.976
"209",9160,7.267
"210",9167,7.132
"211",9174,7.398
"212",9181,7.67
"213",9188,7.194
"214",9195,7.548
"215",9202,7.834
"216",9209,7.797
"217",9216,8.195
"218",9223,7.588
"219",9230,7.543
"220",9237,8.156
"221",9244,7.731
"222",9251,7.539
"223",9258,8.052
"224",9265,8.183
"225",9272,7.797
"226",9279,8.46
"227",9286,8.055
"228",9293,7.971
"229",9300,8.489
"230",9307,8.238
"231",9314,7.996
"232",9321,7.866
"233",9328,8.483
"234",9335,8.213
"235",9342,8.402
"236",9349,7.628
"237",9356,8.411
"238",9363,8.206
"239",9370,7.825
"240",9377,8.078
"241",9384,8.249
"242",9391,7.821
"243",9398,7.257
"244",9405,8.106
"245",9412,7.879
"246",9419,7.712
"247",9426,8.103
"248",9433,7.449
"249",9440,8.477
"250",9447,8.021
"251",9454,7.84
