Date,Demand,Temperature,Holiday
2011-12-31,82.53174591800001,27.7,1
2012-01-01,227.778257304,33.15,1
2012-01-02,275.49098888199995,39.6,1
2012-01-03,258.955329422,29.6,0
2012-01-04,213.792376946,22.4,0
2012-01-05,211.06642655000002,21.2,0
2012-01-06,205.33871462,25.75,0
2012-01-07,200.69327029800002,29.0,0
2012-01-08,200.06161473799997,27.8,0
2012-01-09,216.201836844,24.0,0
2012-01-10,217.17690791,19.6,0
2012-01-11,217.51747501,18.8,0
2012-01-12,217.586174464,20.9,0
2012-01-13,207.841939388,20.2,0
2012-01-14,189.761960344,19.7,0
2012-01-15,202.28468275600002,26.75,0
2012-01-16,266.364444274,32.8,0
2012-01-17,292.45868544599995,34.0,0
2012-01-18,247.72249425600003,23.2,0
2012-01-19,240.187677944,22.9,0
2012-01-20,225.03532547599997,21.9,0
2012-01-21,207.94985991,27.4,0
2012-01-22,239.81037421800002,32.2,0
2012-01-23,280.18829877400003,32.6,0
2012-01-24,287.47481664599997,34.4,0
2012-01-25,239.08368438,24.0,1
2012-01-26,214.239304588,24.05,1
2012-01-27,247.864545244,30.0,0
2012-01-28,246.157781496,30.8,0
2012-01-29,273.88275019199995,34.6,0
2012-01-30,257.241906512,31.8,0
2012-01-31,228.254907978,19.5,0
2012-02-01,230.665817198,23.7,0
2012-02-02,237.88065627199998,26.4,0
2012-02-03,233.603044278,27.7,0
2012-02-04,231.199657566,32.6,0
2012-02-05,217.637392242,31.1,0
2012-02-06,230.08516670199998,22.8,0
2012-02-07,228.61085977200003,21.6,0
2012-02-08,228.077899266,21.4,0
2012-02-09,234.24717426599997,24.8,0
2012-02-10,222.08947112599998,25.6,0
2012-02-11,195.587745634,21.3,0
2012-02-12,207.883898364,22.5,0
2012-02-13,236.192401168,24.0,0
2012-02-14,250.611501006,28.7,0
2012-02-15,276.46380218400003,33.1,0
2012-02-16,256.0977195,26.7,0
2012-02-17,225.04042444600003,23.4,0
